Image,Blade Range,Total,Update Date,Image URL,Released Year,Model #,Brand,Type,Bevel,Slide,Blade Diameter,Watt,RPM,Power Supply,Soft Start,Laser,Others,Price,REF URL,Positioning/Highlights
,Ø127~191mm,"184
-
E Brake, 
7-1/4"" Single Bevel Slider (Cordless). Ultra-compact entry level.",,https://media.cdn.bauhaus/m/181725/15.jpg,2022,GCM18V-07SN,Bosch,1.Benchtop,Single,Rail,184mm,,4500,Cordless 18V,Soft Start,-,"E Brake, ","7-1/4"" Single Bevel Slider (Cordless). Ultra-compact entry level.",https://www.google.com/search?q=Bosch+GCM18V-12SD+press+release+Jan+2022;https://www.google.com/search?q=ToolGuyd+Bosch+miter+saw+2022,
,Ø222~267mm,"254
-
E Brake, 
10"" Dual-Bevel Slide (Cordless). Mid-size premium option.",,https://media.cdn.bauhaus/m/181725/15.jpg,2022,GCM18V-10SDN,Bosch,1.Benchtop,Dual,Rail,254mm,,,Cordless 18V,Soft Start,-,"E Brake, ","10"" Dual-Bevel Slide (Cordless). Mid-size premium option.",https://www.google.com/search?q=ToolGuyd+Bosch+miter+saw+2022;https://www.google.com/search?q=Bosch+GCM18V-10SD+review,
,Ø279~333mm,"305
Shadow
E Brake, 
12"" Dual-Bevel Glide (Cordless). **Flagship**. Corded power equivalent. Available Winter 2022.",,https://media.cdn.bauhaus/m/181725/15.jpg,2022,GCM18V-12GDCN,Bosch,1.Benchtop,Dual,Robust Arm,305mm,,4000,Cordless 18V,Soft Start,Shadow,"E Brake, ","12"" Dual-Bevel Glide (Cordless). **Flagship**. Corded power equivalent. Available Winter 2022.",https://www.google.com/search?q=Bosch+GCM18V-12GD+press+release+Jan+2022;https://www.google.com/search?q=Bosch+GCM18V-12GD+features,
,Ø279~333mm,"305
Shadow
E Brake, 
12"" Dual-Bevel Slide (Cordless). Traditional rail-based alternative to Glide.",,https://media.cdn.bauhaus/m/181725/15.jpg,2022,GCM18V-12SDN,Bosch,1.Benchtop,Dual,Rail,305mm,,4000,Cordless 18V,Soft Start,Shadow,"E Brake, ","12"" Dual-Bevel Slide (Cordless). Traditional rail-based alternative to Glide.",https://www.google.com/search?q=Bosch+GCM18V-12SD+press+release+Jan+2022;https://www.google.com/search?q=Bosch+GCM18V-12SD+features,
,Ø279~333mm,"305
1600
-
12"" Dual-Bevel Non-Sliding Compound Miter Saw. High capacity for crown molding without the complexity of rails.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,DW706,DeWalt,1.Benchtop,Dual,Compound,305mm,1600mm,3600,Corded,,-,,"12"" Dual-Bevel Non-Sliding Compound Miter Saw. High capacity for crown molding without the complexity of rails.",https://www.google.com/search?q=DeWalt+miter+saw+release+2005+press+release;https://www.google.com/search?q=DeWalt+DW706+release+date,"12"" Dual-Bevel Non-Sliding Compound Miter Saw. High capacity for crown molding without the complexity of rails."
,Ø191~222mm,"216
1600
-
8-1/2"" Single Bevel Sliding Compound Miter Saw. Compact, high-portability for trim work. Mentioned in 2005 technical updates.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,DW712,DeWalt,1.Benchtop,Single,Rail,216mm,1600mm,5400,Corded,,-,,"8-1/2"" Single Bevel Sliding Compound Miter Saw. Compact, high-portability for trim work. Mentioned in 2005 technical updates.",https://www.google.com/search?q=DeWalt+miter+saw+release+2005+press+release;https://www.google.com/search?q=DeWalt+DW712+release+date,"8-1/2"" Single Bevel Sliding Compound Miter Saw. Compact, high-portability for trim work. Mentioned in 2005 technical updates."
,Ø222~267mm,"254
1600
-
E Brake
10"" Compound Miter Saw. Replacement for the DW703. High-precision stainless steel detent plate.",,https://media.cdn.bauhaus/m/181725/15.jpg,2006,DW713,DeWalt,1.Benchtop,Single,Compound,254mm,1600mm,5000,Corded,,-,E Brake,"10"" Compound Miter Saw. Replacement for the DW703. High-precision stainless steel detent plate.",https://www.google.com/search?q=DeWalt+DW715+vs+DW705+introduction;https://www.google.com/search?q=DeWalt+DW713+Type+1+release+date,"10"" Compound Miter Saw. Replacement for the DW703. High-precision stainless steel detent plate."
,Ø279~333mm,"305
1600
-
E Brake
12"" Single-Bevel Compound Miter Saw. Modular successor to the DW705. Added capacity and accuracy.",,https://media.cdn.bauhaus/m/181725/15.jpg,2006,DW715,DeWalt,1.Benchtop,Single,Compound,305mm,1600mm,4000,Corded,,-,E Brake,"12"" Single-Bevel Compound Miter Saw. Modular successor to the DW705. Added capacity and accuracy.",https://www.google.com/search?q=DeWalt+DW715+vs+DW705+introduction;https://www.google.com/search?q=DeWalt+DW715+Type+1+release+date,"12"" Single-Bevel Compound Miter Saw. Modular successor to the DW705. Added capacity and accuracy."
,Ø279~333mm,"305
1600
-
E Brake
12"" Double-Bevel Non-Sliding Compound Miter Saw. High-speed (3,800 RPM) dual-bevel capability for large crown molding.",,https://media.cdn.bauhaus/m/181725/15.jpg,2007,DW716,DeWalt,1.Benchtop,Dual,Compound,305mm,1600mm,3800,Corded,,-,E Brake,"12"" Double-Bevel Non-Sliding Compound Miter Saw. High-speed (3,800 RPM) dual-bevel capability for large crown molding.",https://www.google.com/search?q=DeWalt+miter+saw+2007+catalog+models;https://www.google.com/search?q=DeWalt+DW716+introduction+year+press+release,"12"" Double-Bevel Non-Sliding Compound Miter Saw. High-speed (3,800 RPM) dual-bevel capability for large crown molding."
,Ø279~333mm,"305
1600
Laser
E Brake
12"" Double-Bevel Sliding Compound Miter Saw. **Flagship**. Replaced the DW708. Introduced improved rail geometry and 14 positive stops.",,https://media.cdn.bauhaus/m/181725/15.jpg,2007,DW718,DeWalt,1.Benchtop,Dual,Rail,305mm,1600mm,3600,Corded,,Laser,E Brake,"12"" Double-Bevel Sliding Compound Miter Saw. **Flagship**. Replaced the DW708. Introduced improved rail geometry and 14 positive stops.",https://www.google.com/search?q=DeWalt+miter+saw+2007+catalog+models;https://www.google.com/search?q=DeWalt+DW718+release+date+announcement+2007,"12"" Double-Bevel Sliding Compound Miter Saw. **Flagship**. Replaced the DW708. Introduced improved rail geometry and 14 positive stops."
,Ø222~267mm,"254
1600
Shadow
E Brake
10"" Double-Bevel Sliding Compound Miter Saw. High-speed 4,000 RPM motor. Dual horizontal rails. Sept 2008 Launch.",,https://media.cdn.bauhaus/m/181725/15.jpg,2008,DW717,DeWalt,1.Benchtop,Dual,Rail,254mm,1600mm,4000,Corded,,Shadow,E Brake,"10"" Double-Bevel Sliding Compound Miter Saw. High-speed 4,000 RPM motor. Dual horizontal rails. Sept 2008 Launch.",https://www.google.com/search?q=DeWalt+DW717+release+press+release+2008;https://www.google.com/search?q=DeWalt+DW717+release+press+release+2008,"10"" Double-Bevel Sliding Compound Miter Saw. High-speed 4,000 RPM motor. Dual horizontal rails. Sept 2008 Launch."
,Ø279~333mm,"305
1600
-
E Brake
12"" Double-Bevel Sliding Compound Miter Saw. Introduced as a high-value version of the DWS780, typically sold without the integrated XPS worklight.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,DWS779,DeWalt,1.Benchtop,Dual,Rail,305mm,1600mm,3800,Corded,Soft Start,-,E Brake,"12"" Double-Bevel Sliding Compound Miter Saw. Introduced as a high-value version of the DWS780, typically sold without the integrated XPS worklight.",https://www.google.com/search?q=DeWalt+DWS780+release+date+announcement;https://www.google.com/search?q=DeWalt+DWS779+release+date,"12"" Double-Bevel Sliding Compound Miter Saw. Introduced as a high-value version of the DWS780, typically sold without the integrated XPS worklight."
,Ø279~333mm,"305
1675
Shadow
E Brake, 
12"" Double-Bevel Sliding Compound Miter Saw. **Flagship Launch**. Integrated XPS system, high-efficiency dust collection (up to 75%), and tall sliding fences.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,DWS780,DeWalt,1.Benchtop,Dual,Rail,305mm,1675,3800,Corded,Soft Start,Shadow,"E Brake, ","12"" Double-Bevel Sliding Compound Miter Saw. **Flagship Launch**. Integrated XPS system, high-efficiency dust collection (up to 75%), and tall sliding fences.",https://www.google.com/search?q=DeWalt+DWS780+release+date+announcement;https://www.google.com/search?q=DeWalt+DWS780+review+2011,"12"" Double-Bevel Sliding Compound Miter Saw. **Flagship Launch**. Integrated XPS system, high-efficiency dust collection (up to 75%), and tall sliding fences."
,Ø279~333mm,"305
1600
-
E Brake, 
12"" Dual-Bevel Sliding Compound Miter Saw. Compact, lightweight (51 lbs) version of the DWS780. Tall sliding fences support 4-1/2"" crown.",,https://media.cdn.bauhaus/m/181725/15.jpg,2014,DWS709,DeWalt,1.Benchtop,Dual,Rail,305mm,1600mm,3800,Corded,Soft Start,-,"E Brake, ","12"" Dual-Bevel Sliding Compound Miter Saw. Compact, lightweight (51 lbs) version of the DWS780. Tall sliding fences support 4-1/2"" crown.",https://www.google.com/search?q=DeWalt+DWS709+release+date+review;https://www.google.com/search?q=DeWalt+DWS709+release+date+review,"12"" Dual-Bevel Sliding Compound Miter Saw. Compact, lightweight (51 lbs) version of the DWS780. Tall sliding fences support 4-1/2"" crown."
,Ø127~191mm,"184
2600
-
E Brake
7-1/4"" 20V MAX Cordless Sliding Compound Miter Saw. **First DeWalt Cordless Miter Saw**. Extremely portable (31.6 lbs). Integrated XPS system.",,https://media.cdn.bauhaus/m/181725/15.jpg,2015,DCS361,DeWalt,1.Benchtop,Single,Rail,184mm,2600mm,3750,Cordless 20V,Soft Start,-,E Brake,"7-1/4"" 20V MAX Cordless Sliding Compound Miter Saw. **First DeWalt Cordless Miter Saw**. Extremely portable (31.6 lbs). Integrated XPS system.",https://www.google.com/search?q=When+did+the+DeWalt+DCS361+come+out?;https://www.google.com/search?q=DeWalt+DCS361+release+date+review,"7-1/4"" 20V MAX Cordless Sliding Compound Miter Saw. **First DeWalt Cordless Miter Saw**. Extremely portable (31.6 lbs). Integrated XPS system."
,Ø279~333mm,"305
1800
-
E Brake
12"" 120V MAX FLEXVOLT Compound Miter Saw (Non-Slider). Hybrid power flagship for crown molding.",,https://media.cdn.bauhaus/m/181725/15.jpg,2016,DHS716,DeWalt,1.Benchtop,Dual,Compound,305mm,1800mm,3800,FlexVolt 60V2,Soft Start,-,E Brake,"12"" 120V MAX FLEXVOLT Compound Miter Saw (Non-Slider). Hybrid power flagship for crown molding.",https://www.google.com/search?q=DeWalt+FlexVolt+miter+saw+release+date+press+release+2016;https://www.google.com/search?q=DeWalt+DHS716+release+date+review,"12"" 120V MAX FLEXVOLT Compound Miter Saw (Non-Slider). Hybrid power flagship for crown molding."
,Ø279~333mm,"305
1800
Shadow
E Brake
12"" 120V MAX FLEXVOLT Sliding Compound Miter Saw. **Hybrid Power**. Integrated XPS. Corded or cordless operation via AC adapter or 2x 60V batteries.",,https://media.cdn.bauhaus/m/181725/15.jpg,2016,DHS790,DeWalt,1.Benchtop,Dual,Rail,305mm,1800mm,3800,FlexVolt 60V2,Soft Start,Shadow,E Brake,"12"" 120V MAX FLEXVOLT Sliding Compound Miter Saw. **Hybrid Power**. Integrated XPS. Corded or cordless operation via AC adapter or 2x 60V batteries.",https://www.google.com/search?q=DeWalt+FlexVolt+miter+saw+release+date+press+release+2016;https://www.google.com/search?q=DeWalt+DHS790+release+date+review,"12"" 120V MAX FLEXVOLT Sliding Compound Miter Saw. **Hybrid Power**. Integrated XPS. Corded or cordless operation via AC adapter or 2x 60V batteries."
,Ø191~222mm,"216
Shadow
E Brake
216mm (8-1/2"") 54V/60V MAX FLEXVOLT Sliding Miter Saw. High-speed brushless motor, compact design, integrated XPS.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,DCS777,DeWalt,1.Benchtop,Dual,Rail,216mm,,6300,FlexVolt 60V,Soft Start,Shadow,E Brake,"216mm (8-1/2"") 54V/60V MAX FLEXVOLT Sliding Miter Saw. High-speed brushless motor, compact design, integrated XPS.",https://www.google.com/search?q=DeWalt+DCS777+release+date;https://www.google.com/search?q=DeWalt+DCS777+release+date,"216mm (8-1/2"") 54V/60V MAX FLEXVOLT Sliding Miter Saw. High-speed brushless motor, compact design, integrated XPS."
,Ø222~267mm,"254
1600
-
-
10"" Compound Miter Saw. Updated stainless steel detent plate with 14 stops. Tall sliding fences.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,DWS713,DeWalt,1.Benchtop,Single,Compound,254mm,1600mm,5000,Corded,-,-,-,"10"" Compound Miter Saw. Updated stainless steel detent plate with 14 stops. Tall sliding fences.",https://www.google.com/search?q=DeWalt+DW715+vs+DW705+introduction;https://www.google.com/search?q=DeWalt+DWS713+Type+1+release+date,"10"" Compound Miter Saw. Updated stainless steel detent plate with 14 stops. Tall sliding fences."
,Ø279~333mm,"305
1600
-
-
12"" Single-Bevel Compound Miter Saw. High-value professional saw with 15-amp motor and improved base design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,DWS715,DeWalt,1.Benchtop,Single,Compound,305mm,1600mm,4000,Corded,-,-,-,"12"" Single-Bevel Compound Miter Saw. High-value professional saw with 15-amp motor and improved base design.",https://www.google.com/search?q=DeWalt+DW715+vs+DW705+introduction;https://www.google.com/search?q=DeWalt+DWS713+Type+1+release+date,"12"" Single-Bevel Compound Miter Saw. High-value professional saw with 15-amp motor and improved base design."
,Ø279~333mm,"305
1800
Shadow
E Brake
12"" Double-Bevel Compound Miter Saw. **Flagship Non-Slider**. Integrated XPS, stainless detent plate, and cut-line shadow system.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,DWS716XPS,DeWalt,1.Benchtop,Dual,Compound,305mm,1800mm,3800,Corded,-,Shadow,E Brake,"12"" Double-Bevel Compound Miter Saw. **Flagship Non-Slider**. Integrated XPS, stainless detent plate, and cut-line shadow system.",https://www.google.com/search?q=DeWalt+DW715+vs+DW705+introduction;https://www.google.com/search?q=DeWalt+DWS716XPS+release+date,"12"" Double-Bevel Compound Miter Saw. **Flagship Non-Slider**. Integrated XPS, stainless detent plate, and cut-line shadow system."
,Ø279~333mm,"305
Shadow
E Brake, Interface, 
12"" 60V MAX Brushless Sliding Compound Miter Saw. **New Flagship**. Single-battery 60V design, regenerative braking, ultra-efficient dust collection.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,DCS781,DeWalt,1.Benchtop,Dual,Rail-Front,305mm,,3800,Cordless 60V,Soft Start,Shadow,"E Brake, Interface, ","12"" 60V MAX Brushless Sliding Compound Miter Saw. **New Flagship**. Single-battery 60V design, regenerative braking, ultra-efficient dust collection.",https://www.google.com/search?q=DeWalt+DCS781+release+date+announcement;https://www.google.com/search?q=DeWalt+DCS781+release+date+announcement,"12"" 60V MAX Brushless Sliding Compound Miter Saw. **New Flagship**. Single-battery 60V design, regenerative braking, ultra-efficient dust collection."
,Ø222~267mm,"254
Shadow
E Brake
10"" 20V MAX XR Double-Bevel Fixed Compound Miter Saw. High-precision non-slider with 15-amp equivalent performance. Integrated XPS.",,https://www.toolservicenet.com/i/DEWALT/GLOBALBOM/QU/DCS714B/1/Product_Image/EN/DCS714.jpg,2025,DCS714,DeWalt,1.Benchtop,Dual,Compound,254mm,,4900,Cordless 20V,Soft Start,Shadow,E Brake,"10"" 20V MAX XR Double-Bevel Fixed Compound Miter Saw. High-precision non-slider with 15-amp equivalent performance. Integrated XPS.",https://www.google.com/search?q=DeWalt+DCS714+20V+MAX+XR+10-inch+miter+saw+release+date,"10"" 20V MAX XR Double-Bevel Fixed Compound Miter Saw. High-precision non-slider with 15-amp equivalent performance. Integrated XPS."
,Ø279~333mm,"305
Shadow
E Brake
12"" 20V MAX XR Double-Bevel Sliding Compound Miter Saw. Full-size capacity on the 20V platform. Integrated XPS, belt-drive efficiency.",,https://www.dewalt.com/NAG/PRODUCT/IMAGES/HIRES/Ecomm_Large-DCS785WW1_1.jpg,2025,DCS785,DeWalt,1.Benchtop,Dual,Rail,305mm,,3800,Cordless 20V,Soft Start,Shadow,E Brake,"12"" 20V MAX XR Double-Bevel Sliding Compound Miter Saw. Full-size capacity on the 20V platform. Integrated XPS, belt-drive efficiency.",https://www.google.com/search?q=DeWalt+DCS785+20V+MAX+XR+12-inch+miter+saw+release+date;https://www.google.com/search?q=DeWalt+DCS785+20V+MAX+XR+12-inch+miter+saw+release+date,"12"" 20V MAX XR Double-Bevel Sliding Compound Miter Saw. Full-size capacity on the 20V platform. Integrated XPS, belt-drive efficiency."
,Ø222~267mm,"254
1800
-
10"" Compound Miter Saw. Lightweight DIY focus.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,ShopMaster MS265,Delta,1.Benchtop,Single,Compound,254mm,1800mm,5500,Corded,,-,,"10"" Compound Miter Saw. Lightweight DIY focus.",https://www.google.com/search?q=Delta+36-422L+recall+details,"10"" Compound Miter Saw. Lightweight DIY focus."
,Ø222~267mm,"254
1800
-
10"" Compound Miter Saw. Budget consumer line.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,ShopMaster MS275,Delta,1.Benchtop,Single,Compound,254mm,1800mm,5500,Corded,,-,,"10"" Compound Miter Saw. Budget consumer line.",https://www.google.com/search?q=Delta+ShopMaster+MS275+release+date,"10"" Compound Miter Saw. Budget consumer line."
,Ø279~333mm,"305
1800
Dual laser
12"" Compound Miter Saw. High capacity for wood and non-ferrous metals.",,https://media.cdn.bauhaus/m/181725/15.jpg,2007,36-255,Delta,1.Benchtop,Single,Compound,305mm,1800mm,3500,Corded,,Dual laser,,"12"" Compound Miter Saw. High capacity for wood and non-ferrous metals.",https://www.google.com/search?q=Delta+36-255+miter+saw+release+date,"12"" Compound Miter Saw. High capacity for wood and non-ferrous metals."
,Ø222~267mm,"254
1800
Laser
10"" Sliding Compound Miter Saw. Budget-friendly DIY focus.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,ShopMaster S26-260L,Delta,1.Benchtop,Single,Rail,254mm,1800mm,3800,Corded,,Laser,,"10"" Sliding Compound Miter Saw. Budget-friendly DIY focus.",https://www.google.com/search?q=Delta+Machinery+CTI+acquisition+date,"10"" Sliding Compound Miter Saw. Budget-friendly DIY focus."
,Ø222~267mm,"254
1800
-
E Brake
10"" Dual-Bevel Sliding Cruzer Miter Saw. Compact professional footprint.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,26-2240,Delta,1.Benchtop,Dual,Robust Arm,254mm,1800mm,4000,Corded,Soft Start,-,E Brake,"10"" Dual-Bevel Sliding Cruzer Miter Saw. Compact professional footprint.",https://www.google.com/search?q=Delta+26-2240+release+date,"10"" Dual-Bevel Sliding Cruzer Miter Saw. Compact professional footprint."
,Ø279~333mm,"305
1800
-
E Brake
12"" Dual-Bevel Sliding Cruzer Miter Saw. **Robotic Arm System**.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,26-2250,Delta,1.Benchtop,Dual,Robust Arm,305mm,1800mm,5000,Corded,Soft Start,-,E Brake,"12"" Dual-Bevel Sliding Cruzer Miter Saw. **Robotic Arm System**.",https://www.google.com/search?q=Delta+Cruzer+26-2250+release+date;https://www.google.com/search?q=Delta+Cruzer+26-2250+youtube+2017,"12"" Dual-Bevel Sliding Cruzer Miter Saw. **Robotic Arm System**."
,Ø222~267mm,"254
1800
Shadow
E Brake
10"" Dual-Bevel Cruzer 2. Enhanced LED shadow line.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,26-2241,Delta,1.Benchtop,Dual,Robust Arm,254mm,1800mm,4000,Corded,Soft Start,Shadow,E Brake,"10"" Dual-Bevel Cruzer 2. Enhanced LED shadow line.",https://www.google.com/search?q=Delta+26-2241+manual+2021,"10"" Dual-Bevel Cruzer 2. Enhanced LED shadow line."
,Ø279~333mm,"305
1800
Shadow
E Brake
12"" Dual-Bevel Cruzer 2. **Refined Dust Collection**. Adjustable arm tension.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,26-2251,Delta,1.Benchtop,Dual,Robust Arm,305mm,1800mm,4000,Corded,Soft Start,Shadow,E Brake,"12"" Dual-Bevel Cruzer 2. **Refined Dust Collection**. Adjustable arm tension.",https://www.google.com/search?q=Delta+Cruzer+2+26-2251+release+date;https://www.google.com/search?q=Delta+26-2251+unboxing+youtube,"12"" Dual-Bevel Cruzer 2. **Refined Dust Collection**. Adjustable arm tension."
,Ø191~222mm,"210
1600
-
8-1/4"" Compound Miter Saw. 1600W motor. Workhorse for the DIY market. 45° left/right miter, 45° left bevel.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,TC-MS 2112,Einhell,1.Benchtop,Single,Compound,210mm,1600mm,5000,Corded,,-,,"8-1/4"" Compound Miter Saw. 1600W motor. Workhorse for the DIY market. 45° left/right miter, 45° left bevel.",https://www.google.com/search?q=Einhell+TC-MS+2112+release+date;https://www.google.com/search?q=Einhell+TC-MS+2112+release+date+review,"8-1/4"" Compound Miter Saw. 1600W motor. Workhorse for the DIY market. 45° left/right miter, 45° left bevel."
